,property_type,place_name,price_aprox_usd,rooms,contrafrente,cochera,amenities,esp_exterior,mas_1banio,estrenar,surface,price_m2
74,apartment,Barracas,295000.0,4.0,1,1,0,1,1,0,104.0,2836.5384615384614
75,apartment,Paternal,61655.59,1.0,0,0,1,1,0,0,27.0,2283.54037037037
76,apartment,Paternal,62444.68,1.0,0,0,1,1,0,0,27.0,2312.765925925926
77,apartment,Paternal,63245.56,1.0,0,0,1,1,0,0,27.0,2342.428148148148
78,apartment,Paternal,64046.43,1.0,0,0,1,1,0,0,27.0,2372.09
79,apartment,Paternal,74451.92,1.0,0,0,1,1,0,0,32.0,2326.6225
80,apartment,Paternal,75411.79,1.0,0,0,1,1,0,0,32.0,2356.6184375
81,apartment,Paternal,76371.66,1.0,0,0,1,1,0,0,32.0,2386.614375
82,apartment,Paternal,62003.02,1.0,0,0,1,1,0,0,27.0,2296.408148148148
83,apartment,Paternal,62815.68,1.0,0,0,1,1,0,0,27.0,2326.5066666666667
84,apartment,Paternal,63628.33,1.0,0,0,1,1,0,0,27.0,2356.6048148148147
85,apartment,Paternal,64435.09,1.0,0,0,1,1,0,0,27.0,2386.484814814815
86,apartment,Paternal,65247.74,1.0,0,0,1,1,0,0,27.0,2416.582962962963
87,apartment,Paternal,74628.58,1.0,0,0,1,1,0,0,33.0,2261.4721212121212
88,apartment,Paternal,75612.01,1.0,0,0,1,1,0,0,33.0,2291.2730303030303
89,apartment,Paternal,76589.55,1.0,0,0,1,1,0,0,33.0,2320.8954545454544
90,apartment,Paternal,65983.84,1.0,0,0,1,1,0,0,28.0,2356.565714285714
91,apartment,Paternal,66825.94,1.0,0,0,1,1,0,0,28.0,2386.6407142857142
92,apartment,Paternal,67668.04,1.0,0,0,1,1,0,0,28.0,2416.715714285714
93,store,Recoleta,139000.0,1.0,0,0,0,1,1,1,33.0,4212.121212121212
94,apartment,Caballito,70500.0,1.0,0,1,1,1,0,0,35.0,2014.2857142857142
95,apartment,Caballito,64500.0,1.0,0,0,0,1,0,0,28.0,2303.5714285714284
96,apartment,Puerto Madero,350000.0,2.0,0,0,1,1,0,0,54.0,6481.481481481482
97,apartment,Agronomía,140000.0,2.0,1,1,1,1,1,1,56.0,2500.0
98,PH,Villa Pueyrredón,198000.0,3.0,0,0,0,1,1,1,116.0,1706.896551724138
99,apartment,Caballito,91000.0,1.0,0,1,1,1,1,1,42.0,2166.6666666666665
100,apartment,Coghlan,96000.0,1.0,0,1,1,1,1,0,39.0,2461.5384615384614
101,apartment,Palermo,179000.0,3.0,0,0,0,1,1,1,70.0,2557.1428571428573
102,apartment,Almagro,210000.0,4.0,1,1,0,1,1,0,77.0,2727.2727272727275
103,apartment,Caballito,355000.0,5.0,0,1,0,1,0,0,200.0,1775.0
104,apartment,Parque Centenario,355000.0,5.0,0,1,0,1,0,0,200.0,1775.0
105,apartment,Puerto Madero,350000.0,2.0,0,0,1,1,0,0,54.0,6481.481481481482
106,apartment,Puerto Madero,330000.0,2.0,0,1,1,1,0,0,54.0,6111.111111111111
107,apartment,San Telmo,108356.0,1.0,0,1,1,1,0,0,41.0,2642.829268292683
108,apartment,Almagro,120000.0,3.0,1,0,0,1,1,0,56.0,2142.8571428571427
109,apartment,Monserrat,120000.0,2.0,0,0,0,1,1,0,60.0,2000.0
